Country,Totaldrivers,Champions,Championships,First driver,Most recent driver ,Drivers in last race
Argentina,25,1,5,Juan Manuel Fangio ,Gastón Mazzacane ,0
Australia,17,2,4,Tony Gaze ,,1
Austria,16,2,4,Jochen Rindt ,Christian Klien ,0
Belgium,24,0,0,Johnny Claes ,,1
Brazil,31,3,8,Chico Landi ,Felipe Massa ,0
Canada,14,1,1,Peter Ryan ,,1
Chile,1,0,0,Eliseo Salazar ,Eliseo Salazar ,0
Colombia,3,0,0,Ricardo Londoño ,Juan Pablo Montoya ,0
Czech Republic,1,0,0,Tomáš Enge ,Tomáš Enge ,0
Denmark,5,0,0,Tom Belsø ,,1
East Germany,4,0,0,"Rudolf Krause, Ernst Klodwig ",Edgar Barth ,0
Finland,9,3,4,Leo Kinnunen ,,2
France,71,1,4,"Yves Giraud-Cabantous, Eugène Martin, Louis Rosier, Philippe Étancelin ",,3
Germany,52,3,12,Paul Pietsch ,,2
Hungary,1,0,0,Zsolt Baumgartner ,Zsolt Baumgartner ,0
India,2,0,0,Narain Karthikeyan ,Narain Karthikeyan ,0
Indonesia,1,0,0,Rio Haryanto ,Rio Haryanto ,0
Ireland,5,0,0,Joe Kelly ,Ralph Firman ,0
Italy,99,2,3,"Nino Farina, Luigi Fagioli ",Antonio Giovinazzi ,0
Japan,20,0,0,Hiroshi Fushida ,Kamui Kobayashi ,0
Liechtenstein,1,0,0,Rikky von Opel ,Rikky von Opel ,0
Malaysia,1,0,0,Alex Yoong ,Alex Yoong ,0
Mexico,6,0,0,Ricardo Rodríguez ,,1
Monaco,5,0,0,Louis Chiron ,,1
Morocco,1,0,0,Robert La Caze ,Robert La Caze ,0
Netherlands,16,0,0,"Jan Flinterman, Dries van der Lof ",,1
New Zealand,9,1,1,Bruce McLaren ,,1
Poland,1,0,0,Robert Kubica ,Robert Kubica ,0
Portugal,5,0,0,Mário Araújo de Cabral ,Tiago Monteiro ,0
Rhodesia,5,0,0,John Love ,John Love ,0
Russia,3,0,0,Vitaly Petrov ,,1
South Africa,23,1,1,Tony Maggs ,Jody Scheckter ,0
Spain,15,1,2,"Paco Godia, Juan Jover ",,2
Sweden,10,0,0,Joakim Bonnier ,,1
Switzerland,24,0,0,Toulo de Graffenried ,Sébastien Buemi ,0
Thailand,1,0,0,Prince Bira ,Prince Bira ,0
United Kingdom,161,10,17,"Reg Parnell, Peter Walker, Leslie Johnson, Bob Gerard, Cuth Harrison, David Hampshire, Geoffrey Crossley, David Murray, Joe Fry ",,1
United States,158,2,2,Harry Schell ,Alexander Rossi ,0
Uruguay,4,0,0,Eitel Cantoni ,Asdrúbal Fontes Bayardo ,0
Venezuela,3,0,0,Ettore Chimeri ,Pastor Maldonado ,0
